202020562R,STANPLUS TECH ANGELS PTE. LTD.
202020600M,SCEPTER INVESTMENTS PTE. LTD.
202020809Z,SHARIFF VENTURE GROUP PTE. LTD.
202020810N,USFI G-OE FUNDS V PRIVATE LIMITED
202020825C,USFI G-OE FUNDS IV PRIVATE LIMITED
202020832C,USFI G-OE FUNDS III PRIVATE LIMITED
202020909N,SEMASP PTE. LTD.
202021016Z,SEA TURNING INVESTMENT HOLDINGS PTE. LTD.
202021165G,SUMMITT PTE. LTD.
202021225K,SUCCESS ABUNDANCE PTE. LTD.
202021340R,SN 2020TMP PTE. LTD.
202021399W,SEMOIL ENERGY TRADING PTE. LTD.
202021517D,SHAREABLE SUNDERLAND UK PTE. LTD.
202021536W,SMG CAPITAL PTE. LTD.
202021568W,SPRING WEALTH MAVEN PTE. LTD.
202021623G,SRN INVESTMENTS PTE. LTD.
202021717M,SINGAPORE SE INTERNATIONAL DEVELOPMENT PTE. LTD.
202021745H,U FINTECH HUB GLOBAL PTE. LTD.
202021752H,SKYY DEVELOPMENT SINGAPORE 2 PTE. LTD.
202021819H,SG ASIA CAPITAL PRIVATE LIMITED
202021851M,SELENITE INVESTMENT PTE. LTD.
202021860N,SEVIORA CAPITAL PTE. LTD.
202021860N,SEVIORA HOLDINGS PTE. LTD.
202021872H,SYNAGISTICS PTE. LTD.
202021891D,UMAMI LABO PRIVATE LIMITED
202021941N,SUPERNOVA RESERVE HOLDINGS PTE. LTD.
202021945W,SUPERNOVA ASSET MANAGEMENT PTE. LTD.
202021949C,STORHUB YS PTE. LTD.
202022056G,SAPELE PTE. LTD.
202022095G,SKYE CAPITAL PTE. LTD.
202022118M,SCHNEIDER ELECTRIC JV HOLDINGS 2 PTE. LTD.
202022156C,SINGAPORE DA TONG PUBLIC WELFARE FUND LIMITED
202022165D,SING ACQUI PTE. LTD.
202022166N,SUN CAPITAL MANAGEMENT PTE. LTD.
202022236K,SEA FUND I INVESTMENT 3 PTE. LTD.
202022261N,SEA FUND I INVESTMENT 6 PTE. LTD.
202022262E,SEA FUND I INVESTMENT 5 PTE. LTD.
202022264G,SEA FUND I INVESTMENT 4 PTE. LTD.
202022301M,SHRG ASIA PARTNERS PTE. LTD.
202022476K,SAN LIM PTE. LTD.
202022527M,SYNC MORTGAGE PTE. LTD.
202022546G,SALAZAR CAPITAL INVESTMENTS PTE. LTD.
202022617N,SYSCO OFFSHORE PTE. LTD.
202022635W,SINGAPORE TITAN INVESTMENT PTE. LTD.
202022785R,SVF II BRIDGE SUBCO (SINGAPORE) PTE. LTD.
202022788H,SVF II ZEAL SUBCO (SINGAPORE) PTE. LTD.
202022842G,SECOND SHIFT PTE. LTD.
202022889N,SCOTGOLD INTERNATIONAL PTE. LTD.
202022953E,SCCPRE HOSPITALITY REIT MANAGEMENT PTE. LTD.
202022961R,SCCPRE HOSPITALITY BUSINESS TRUST MANAGEMENT PTE. LTD.
202023049D,SKYSCAPE INVESTMENT HOLDINGS PTE. LTD.
202023141K,SUPERTANK S1 PTE. LTD.
202023210R,SURYA NUSANTARA PTE. LTD.
202023288M,SOULS HUMANITY PTE. LTD.
202023299R,SAROYAN INVESTMENT PTE. LTD.
202023308E,SAROYAN FOREVER PTE. LTD.
202023364W,SUN WING ON PTE. LTD.
202023383M,SEAWIG HOLDINGS PTE. LTD.
202023465D,UNO DIGITAL PTE. LTD.
202023605R,UKKO PTE. LTD.
202023656K,SC FINANCIAL SERVICES PTE. LTD.
202023660W,SOPHIA FAMILY OFFICE PTE. LTD.
202023670K,SUPRAMA GLOBAL PTE. LTD.
202023680D,STANPLUS HYDERABAD ANGELS SPV PTE. LTD.
202023706C,SC GLOBAL FORTUNE PTE. LTD.
202023760M,SINLION ENERGY INTERNATIONAL INVESTMENT PTE. LTD.
202023762N,SPECIAL SITUATIONS II ERNIE SINGAPORE PTE. LTD.
202023774H,SINMAH CAPITAL PTE. LTD.
202023824Z,SALIENTSTREAM CAPITAL PTE. LTD.
202023832K,ST VENTURE HOLDINGS PTE. LTD.
202023849Z,UNITED SUPPLY CHAIN PTE. LTD.
202023870Z,LUCKY BROS PTE. LTD.
202023938K,WONDER RONGFU CAPITAL MANAGEMENT PTE. LTD.
202023986M,SINGAPORE DATA & CLOUD SERVICE HOLDING PTE. LTD.
202024050N,LETSDUTCH PTE. LTD.
202024077R,NISEKO INVESTMENT SINGAPORE PTE. LTD.
202024080M,GF PENINSULA HOLDINGS PTE. LTD.
202024083E,SIVO (SINGAPORE) INDUSTRY GROUP PTE. LTD.
202024100E,L.Y.W. HOLDINGS PRIVATE LIMITED
202024105Z,LE MOYEN PTE. LTD.
202024129H,LIANG ZU HOLDINGS PTE. LTD.
202024152K,LA CURA MOBILITY PTE. LTD.
202024182H,RELTEK PRECISION MEDITECH PTE. LTD.
202024182H,RELTREX LEADER PRECISION MEDITECH PTE. LTD.
202024182H,RELTREX PRECISION MEDITECH PTE. LTD.
202024195N,DELTA TELECOM INTERNATIONAL PTE. LTD.
202024195N,RAFFLES INVEST PTE. LTD.
202024203M,SHARE INDIA GLOBAL PTE. LTD.
202024228M,U-GLOBAL PTE. LTD.
202024278R,SOUTH DOWNS INVESTMENT PTE. LTD.
202024281M,SM FORTUNA HOLDINGS PTE. LTD.
202024303G,SIMPSON TCM HOLDING PTE. LTD.
202024311W,NEW FOREST INVESTMENT PTE. LTD.
202024312H,SJY HOLDINGS PTE. LTD.
202024313Z,SJY HEALTHCARE PTE. LTD.
202024326E,LIHONG INVESTMENT PTE. LTD.
202024355M,GRINWEIV BEN.EXCELLENCE PTE. LTD.
202024424W,RENDITE HOLDINGS PRIVATE LIMITED
202024461R,SM INVESTMENT MANAGEMENT PTE. LTD.
202024480K,WINNING YOUTH SHIPPING PTE. LTD.
202024517M,GTML SINGAPORE HOLDING PTE. LTD.
202024546Z,SCHATZ TRADING PTE. LTD.
202024601H,SCOMMERCE TW PRIVATE LIMITED
202024602Z,ULYSSES GLOBAL PTE. LTD.
202024624G,GREAT GAMES PRIVATE LIMITED
202024626H,GREAT GAMES II PRIVATE LIMITED
202024651M,NANEON SINGAPORE PTE. LTD.
202024678N,SYTECH INTERNATIONAL PTE. LTD.
202024736R,SINYOO CAPITAL PTE. LTD.
202024803Z,SEATOWN SAILFISH PTE. LTD.
202024820M,UTSIRA VENTURES PTE. LTD.
202024840W,LFSG NOMINEE PTE. LTD.
202024846D,STAR RING HOLDING PTE. LTD.
202024850K,RISEN ENERGY SINGAPORE TECHNOLOGY HOLDING PTE. LTD.
202024855E,WHITE FALCON VENTURES PTE. LTD.
202024924K,GECKOPAY HOLDINGS PTE. LTD.
202024925C,RIVI HOLDINGS PTE. LTD.
202024928N,SCCPRE TWENTY ONE (S) PTE. LTD.
202024982E,SVF II VALOR SUBCO (SINGAPORE) PTE. LTD.
202024984G,SCVP PTE. LTD.
202025118C,GANGNAM ASSET PTE. LTD.
202025149K,SINGTEL NEX PTE. LTD.
202025182E,LIBERTY STEEL NEWPORT HOLDINGS PTE. LTD.
202025251K,STP HOLDINGS PTE. LTD.
202025253M,STORHUB SK1 PTE. LTD.
202025258G,STORHUB SK2 PTE. LTD.
202025261D,SINGTEL ATN PTE. LTD.
202025323H,NEORIENT INVESTMENT PTE. LTD.
202025356Z,RTMHAKC INVESTMENT HOLDINGS PTE. LTD.
202025430D,RECO HYDRANGEA PRIVATE LIMITED
202025515G,SBK TECH HOLDINGS PTE. LTD.
202025526K,NEW MOTION PTE. LTD.
202025528M,GRAND TRAIL HOLDINGS PTE. LTD.
202025530W,GRAND TRAIL INVESTMENTS PTE. LTD.
202025554G,SG ESTATE HOLDINGS PTE. LTD.
202025560R,UNITY MINERALS PTE. LTD.
202025592R,SUMMIT MEDIA SINGAPORE HOLDINGS PTE. LTD.
202025621K,GOODTEX SINGAPORE PTE. LTD.
202025646K,RUNBO INT PTE. LTD.
202025655M,SEACLOUD VENTURES PTE. LTD.
202025673R,SAROYAN CAPITAL MANAGEMENT PTE. LTD.
202025679C,NANYANG INTERNATIONAL INVESTMENT PTE. LTD.
202025773K,RALV VENTURES PTE. LTD.
202025782M,SVF II CRYSTAL SUBCO (SINGAPORE) PTE. LTD.
202025795W,LIXING INVESTMENT PTE. LTD.
202025933H,GLOBAL HANDEL PTE. LTD.
202025956G,GLORY ROSE II PTE. LTD.
202025977D,SUNRAY INDIA PTE. LTD.
202025978N,GOLD CREST ADVISORY PTE. LTD.
202026038H,SSKF PTE. LTD.
202026039Z,SUPER RAINBOW PTE. LTD.
202026067R,LENDLEASE DIGITAL ASIA HOLDINGS PTE. LTD.
202026070M,SFX CN LOGIPORT PTE. LTD.
202026076W,RAY EAGLE PRIVATE LIMITED
202026120D,SEKHEM HOLDING PTE. LTD.
202026123R,WIZ INVESTMENT PTE. LTD.
202026148R,NEW HORIZON INVESTMENT I PTE. LTD.
202026162R,NANO LABS PTE. LTD.
202026232M,GOLD CONCORDIA HOLDINGS (SG) PTE. LIMITED
202026430Z,SSSM INVESTMENTS PTE. LTD.
202026472M,WIDESEEK DIGITAL TECHNOLOGY PTE. LTD.
202026514M,RISING MAVERICK PTE. LTD.
202026526G,SAVILLS IM JAPAN RESIDENTIAL FUND II GP PTE. LTD.
202026603D,NOMAD CAPITAL PTE. LTD.
202026634M,NPATH EQUITY PTE. LTD.
202026637E,WESTGROVE PTE. LTD.
202026655H,GHD HOLDINGS (ASIA) PTE. LTD.
202026803M,SKY WEALTH ASSETS PTE. LTD.
202026859C,SLP RAINBOW HOLDINGS PTE. LTD.
202026880C,GECKO VENTURES PTE. LTD.
202026897K,SOUTHEAST ASIA HIMALAYA INVESTMENT PTE. LTD.
202026975W,WAVERLY PROPERTY INVESTMENT PTE. LTD.
202026977Z,GLOBAL WEALTH INVESTMENT CONSULTANTS PTE. LTD.
202027005N,LUCENT ENERGY (SINGAPORE) PTE. LTD.
202027035M,STORMHARBOUR ADVISORS PTE. LTD.
202027069N,GENTRUST PTE. LTD.
202027075D,SAPHALTA PTE. LTD.
202027117D,ROGUE VENTURE PARTNERS PRIVATE LIMITED
202027124D,SUNRISE SILVER HOLDINGS PTE. LTD.
202027125N,SUNSET SILVER HOLDINGS PTE. LTD.
202027143W,SUN SILVER HOLDINGS PTE. LTD.
202027147C,SUN SILVER SG HOLDINGS PTE. LTD.
202027169H,NVENTURES PTE. LTD.
202027177Z,SANDS CAPITAL - PACIFIC PTE. LTD.
202027180R,SILVER STONE INTERNATIONAL PTE. LTD.
202027200H,SCF SOCIAL VENTURES PTE. LTD.
202027276D,RISE AND SHINE PTE. LTD.
202027304G,RISTA PTE. LTD.
202027313H,GEYCEN INDUSTRY PTE. LTD.
202027315K,KUMASG PTE. LTD.
202027330C,RECO ASH PRIVATE LIMITED
202027331M,RIGIL HOLDINGS PTE. LTD.
202027333N,RECO AYAN PRIVATE LIMITED
202027334E,RECO IROKO PRIVATE LIMITED
202027337W,RECO MERANTI PRIVATE LIMITED
202027339Z,RECO SAPELE PRIVATE LIMITED
202027340N,STREAMS LAND PTE. LTD.
202027379K,UCLP-1 PTE. LTD.
202027497H,ECHIGO SINGAPORE HOLDING PTE. LTD.
202027528E,SIMS ENTERPRISE PTE. LTD.
202027550R,STRATEZ CAPITAL PTE. LTD.
202027556C,S+P FACILITIES MANAGEMENT PTE. LTD.
202027609E,SUNNYCHOICE CJ PTE. LTD.
202027623E,ASKRANDALLHOW PTE. LTD.
202027640W,LISOON VENTURE MANAGEMENT PTE. LTD.
202027688R,SEAOPPFUND4 PTE. LTD.
202027740M,SAUL HOLDINGS PTE. LTD.
202027753W,SANROKU VENTURES PTE. LTD.
202027763K,SINDONG HOLDINGS PTE. LTD.
202027764C,NV1 SG (AFRICA) PTE. LTD.
202027764C,SIERRA 1 SG (AFRICA1) PTE. LTD.
202027770K,NV1 SG (AP1) PTE. LTD.
202027770K,SIERRA 1 SG (MEAP1) PTE. LTD.
202027773D,GUANGLI FUND PTE. LTD.
202027784G,NV1 SG (LATAM1) PTE. LTD.
202027784G,SIERRA 1 SG (LATAM1) PTE. LTD.
202027833G,SAMC HELLESPONT PTE. LTD.
202027834W,RUNYI INVESTMENT PTE. LTD.
202027836Z,SOFI SINGAPORE PTE. LTD.
202027838C,GRATUS HOLDING PTE. LTD.
202027855N,LIEF HOLDINGS PTE. LTD.
202027886D,GHS VENTURE II PTE. LTD.
202027932K,RSTU CAPITAL PTE. LTD.
202027940C,SEAINSURE IL PRIVATE LIMITED
202027942D,S-RETAIL VN PRIVATE LIMITED
202027952R,REGAL INT HOLDINGS PTE. LIMITED
202027976E,NEW MINGLEWOOD INVESTMENTS PTE. LTD.
202027990E,REDONDO PTE. LTD.
202028024E,WALLEX TECH HOLDINGS PTE. LTD.
202028025R,SUN WEALTH GROUP PTE. LTD.
202028032R,SETH ASSET MANAGEMENT PTE. LIMITED
202028038C,GREGORIA INVESTMENTS PTE. LTD.
202028043Z,SETH INVESTMENTS PTE. LIMITED
202028132K,SEVEN SEEDS PTE. LTD.
202028137E,GLOBAL SHINE ENTERPRISE PTE. LTD.
202028165C,SILKYWATER ASSET MANAGEMENT PTE. LTD.
202028168N,REALWISE INVESTMENTS (SINGAPORE) PTE. LTD.
202028250H,GAIA INVESTMENTS PTE. LTD.
202028254M,MMSG MANAGEMENT PTE. LTD.
202028272R,GITTOO INFORMATION TECHNOLOGY PTE. LTD.
202028273G,WTB SG SPV PTE. LTD.
202028349H,SOG SG PTE. LTD.
202028395H,WHITE STAR CAPITAL SINGAPORE PTE. LTD.
202028424D,GAIA QUALITY MEAT PTE. LTD.
202028430M,N51 CAPITAL PARTNERS PTE. LTD.
202028444H,GSE GLOBAL INVESTMENT HOLDINGS PTE. LTD.
202028455M,LV PROJECT 3 PTE. LTD.
202028467G,NICKEL INTERNATIONAL CAPITAL PTE. LTD.
202028487M,GSE GLOBAL INVESTMENT PTE. LTD.
202028511M,SVF II WYATT SUBCO (SINGAPORE) PTE. LTD.
202028511M,SVF II ZOOM SUBCO (SINGAPORE) PTE. LTD.
202028597Z,SABEL INVESTMENT II PTE. LTD.
202028629G,SHENGBO TECHNOLOGY PTE. LTD.
202028633N,NINE IDEAS PTE. LTD.
202028636G,SILK ROAD II HOLDINGS PTE. LTD.
202028653Z,NIRVANAA CAPITAL PTE. LTD.
202028667R,UNIONBLOCK VC PTE. LTD.
202028675G,SUJANN TRADE AND INVESTMENT PTE. LTD.
202028721N,LVS BIOTECH HOLDING II PTE. LTD.
202028772H,GMG RETAIL HOLDING PTE. LTD.
202028843R,SHREE AUROBINDO PTE. LTD.
202028998H,SJAJ HOLDINGS PTE. LTD.
202029017C,UNIBIOPHARM HOLDING PTE. LTD.
202029035E,GREAT RIVER GROUP (SINGAPORE) PTE. LTD.
202029094K,SINGAPORE INNOVATION ENERGY PTE. LTD.
202029102H,SUNPORK INSURANCE PTE. LTD.
202029134H,GIE & TJIEN PERPETUAL ALLIANCE PTE. LTD.
202029142Z,GLOBAL PACT INVESTMENTS PTE. LTD.
202029246W,SAVAN GREEN HOLDINGS (S) PTE. LTD.
202029299N,RED PENNY PTE. LTD.
202029312K,RLA HOLDINGS PTE. LTD.
202029314M,SWIRE MARINE HOLDINGS PTE. LTD.
202029331E,GENERAL ATLANTIC SINGAPORE SPV 41 PTE. LTD.
202029337K,GENERAL ATLANTIC SINGAPORE PP PTE. LTD.
202029337K,GENERAL ATLANTIC SINGAPORE SPV 42 PTE. LTD.
202029375Z,SILVERIDGE HOLDINGS PTE. LTD.
202029418K,RADIANCE GROWTH FUND PTE. LTD.
202029475N,SWIRE BULK HOLDINGS PTE. LTD.
202029549N,SWIRE BULK PTE. LTD.
202029604D,SVF II FLY SUBCO (SINGAPORE) PTE. LTD.
202029688H,LIBERTY COMMODITIES HOLDINGS PTE. LTD.
202029691E,LPH HOLDINGS PTE. LTD.
202029702R,WEI XIN PTE. LTD.
202029713Z,UPPERWOOD ADVISORY PTE. LTD.
202029716M,RAINMEN CONSULTANCY PTE. LTD.
202029721K,SPYRIDON HOLDINGS PTE. LTD.
202029768W,SPRING FAIRY PTE. LTD.
202029776H,LI JIANG PTE. LTD.
202029796N,LRVN1 PTE. LTD.
202029813N,SUMMIT 29K PTE. LTD.
202029817W,LASSARISA PTE. LTD.
202029820N,LASSAR MANAGEMENT PTE. LTD.
202029822R,GLORY ELIM CAPITAL PTE. LTD.
202029838N,RONGTUA HOLDING PTE. LTD.
202029948C,NEW HILL PTE. LTD.
202029951W,SLED HOLDINGS PTE. LTD.
202029955C,GC OFFICERS PTE. LTD.
202029963M,SVF II SAGE SUBCO (SINGAPORE) PTE. LTD.
202029970M,SLB (MB) PTE. LTD.
202029973E,LI SHUN PTE. LTD.
202030007Z,SEN'S TRADING AND CONSULTING PTE. LTD.
202030036G,LRC ONE PTE. LTD.
202030038H,LRC TWO PTE. LTD.
202030040N,SESAME GRAND FUND PTE. LTD.
202030079K,SSC (INTERNATIONAL) PTE. LTD.
202030098E,RV - PROJECT BIBRA LAKE AU II PTE. LTD.
202030119H,SESAME MANAGEMENT PTE. LTD.
202030153N,SUNRISE TECHNOLOGY INVESTMENT HOLDING II PTE. LTD.
202030207H,STARGROUP PTE. LTD.
202030212G,WAKEFIELD (WUXI) ASSETS PTE. LTD.
202030220W,SHALSA GOLD-STAR PTE. LTD.
202030245W,LRC THREE PTE. LTD.
202030246H,LRC FOUR PTE. LTD.
202030278H,SUJATA PTE. LTD.
202030280N,ROLLING INVESTMENTS PTE. LTD.
202030287K,W&D PTE. LTD.
202030292H,LAKSHMI INVESTMENTS & PROPERTIES PTE. LTD.
202030302H,RAYN HOLDINGS PTE. LTD.
202030366H,WHITE CRAG PTE. LTD.
202030391M,L&G (S) PTE. LTD.
202030497M,SECURED WEALTH ADVISORY PTE. LTD.
202030549E,NATURE2000 HOLDINGS PTE. LTD.
202030552C,LASTING LEGACY PTE. LTD.
202030576K,NEOBANK PTE. LTD.
202030577C,SPG SPV PTE. LTD.
202030781W,RW HO A PTE. LTD.
202030785C,UNITED INSIGHTS INVESTMENT PTE. LTD.
202030793M,SOPHIA.C FAMILY OFFICE PTE. LTD.
202030798G,STERLING GREEN (PRIVATE) LIMITED
202030800Z,RA MPL HOLDINGS PTE. LTD.
202030806E,RW HO A SPE 1 PTE. LTD.
202030825Z,LITCHEERS INVESTMENT PRIVATE LIMITED
202030874M,WEI QING ENTERPRISE PTE. LTD.
202030879G,GOOD DAISY PTE. LTD.
202030915C,LA HORIZON HOLDING PTE. LTD.
202030932N,WAN HE PTE. LTD.
202030973R,WESTLITE MANAGEMENT PTE. LTD.
202031010M,SILVAN INVESTMENT PTE. LTD.
202031034C,LIN & WIN PTE. LTD.
202031039R,LEGEND CARRIER GROUP PTE. LTD.
202031039R,LEGEND MARINE HOLDINGS PTE. LTD.
202031057Z,SAFE HARBOR RESOURCES PTE. LTD.
202031080C,SHIRE OAK GREEN ASIA PORTFOLIO 2 PTE. LTD.
202031082D,SHIRE OAK GREEN ASIA PORTFOLIO 3 PTE. LTD.
202031083N,SHIRE OAK GREEN ASIA PORTFOLIO 4 PTE. LTD.
202031115C,GOLDEN WHH PTE. LTD.
202031171N,STARC HOLDINGS PTE. LTD.
202031239E,GALILEE INVESTMENTS PTE. LTD.
202031284N,SUNTEC REIT UK 1 PTE. LTD.
202031347K,LOBANG QUEEN PTE. LTD.
202031355C,LL INVESTMENTS PTE. LTD.
202031382G,SHORE TREE HOLDINGS PTE. LTD.
202031423R,GENELEAP BIOTECHNOLOGY SINGAPORE PTE. LTD.
202031459Z,SENECA TECHNOLOGIES PTE. LTD.
202031463G,STRATEGIC TRANSACTIONS (SINGAPORE) PTE. LTD.
202031480Z,GRAND CITY WAREHOUSES PTE. LTD.
202031511R,STRATEZ VENTURES PTE. LTD.
202031530K,UPPER HOLDINGS PRIVATE LTD.
202031548K,GLOBAL FINDO PTE. LTD.
202031554Z,SINCERE EDUCATION TECHNOLOGY PTE. LTD.
202031567E,GENERAL ATLANTIC SINGAPORE BHT PTE. LTD.
202031567E,GENERAL ATLANTIC SINGAPORE BTH PTE. LTD.
202031567E,GENERAL ATLANTIC SINGAPORE COMMANDER SUB PTE. LTD.
202031569G,LIGHT CULTURE HOLDINGS PTE. LTD.
202031580N,UPPER HOLDCO PRIVATE LTD.
202031595C,SILVATREE INTERNATIONAL PTE. LTD.
202031648E,RNST ENERGY HOLDINGS PTE. LTD.
202031653D,GREEN BUTCHER FOODS PTE. LTD.
202031697W,LEGEND GLOBAL LOGISTICS PTE. LTD.
202031704E,LSLV PROJECT 7 PTE. LTD.
202031758M,SERICA TECHNOLOGY GROUP PTE. LTD.
202031812K,RAYSIN CONSULTANCY PTE. LTD.
202031820C,SIR HOSPITALITY PTE. LTD.
202031835H,SM PRIME PTE. LIMITED
202031876K,RUIZE INVESTMENTS PTE. LTD.
202031887N,SILVERHEELS INVESTMENTS PTE. LTD.
202031924Z,LCM PTE. LTD.
202031936N,LHC PTE. LTD.
202032087N,SHARP STONES PTE. LTD.
202032162H,WHITESTONE ASIA REAL ESTATE HOLDINGS, PTE. LTD.
202032184R,SPRING COTTAGE PRIVATE LIMITED
202032250H,ROUNDTABLE VENTURES PRIVATE LIMITED
202032255D,LEGATUS MEDICAL PTE. LTD.
202032275H,SINO INDO ADVISORY (PTCL) PTE. LTD.
202032314R,GEYLANG 33 INVESTMENTS PTE. LTD.
202032355W,SHIELD MANAGEMENT PARTNERS PTE. LTD.
202032362W,WISE FX PTE. LTD.
202032376N,THRF INVESTMENTS PTE. LTD.
202032380C,SME TECH PTE. LTD.
202032459R,SYOSSET PTE. LTD.
202032491Z,SEATOWN PRIVATE STRATEGIES GP PTE. LTD.
202032513N,GLOBAL EXCHANGE FINANCIAL SERVICES PTE. LTD.
202032536M,LIANSON INVESTMENT PTE. LTD.
202032565Z,WHITEMARK PTE. LTD.
202032572Z,GOLDEN ELEPHANT VALLEY PTE. LTD.
202032662C,GROWHUB RETAIL PTE. LTD.
202032674R,SANFRANCE CAPITAL PTE. LTD.
202032680E,SMILDER PTE. LTD.
202032761E,WISDOM ASSET MANAGEMENT (APAC) PTE. LIMITED
202032795G,GOLDEN LION PRECIOUS RESOURCES PTE. LTD.
202032824C,NOVASC CAPITAL PTE. LTD.
202032842E,NANOLEAD TECHNOLOGY PTE. LTD.
202032876G,GLOBAL MODERN INVESTASIA PTE. LTD.
202032879Z,GM PROPERTIES PTE. LTD.
202032880N,UNIVERSAL HEADWAY SYSTEM PTE. LTD.
202032902H,STAGE 6 - INNER COSMOS PTE. LTD.
202032961N,RYM CAPITAL HOLDINGS PTE. LTD.
202032992D,LH INVESTMENT PTE. LTD.
202033108N,SW7 FUND MANAGEMENT PTE. LTD.
202033116E,STRIDAN PTE. LTD.
202033147N,SIGNATURE HUNTER PTE. LTD.
202033170R,GALAPAND HOLDING PTE. LIMITED
