Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description
2020-03-05,202007566W,IT EAGLE FOUNDATION LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007569K,TRAFFIC CHAIN LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007570E,DAOPS FOUNDATION LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007571R,NGK FOUNDATION LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007572G,BTETOKEN PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007575Z,MOBU PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007580W,TL DESIGN STUDIO PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007586D,MATERI PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007592M,"GRAIN FIELDS, INC. PTE. LTD.",FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007593D,J&Y MANAGEMENT SERVICES PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007595E,CHIN YONG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007597G,BAI SHENG FENG (SINGAPORE) PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007601C,3RDHAND PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007602M,PISTEUO PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007603D,WAVENEY COMMUNICATIONS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007605E,ALPHA HOLDINGS SG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007606R,CAREER ZOOM PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007608W,CARGOFLOW SINGAPORE PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007610D,JIU TAN INVESTMENT ENTERPRISES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007616H,ROCK HAVEN PRODUCTIONS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007617Z,MOZURI PARTNERS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007620R,THRIVE WITH SCIENCE (PTE. LTD.),INFORMATION AND COMMUNICATIONS
2020-03-05,202007621G,SHINSHU 1 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007622W,SINGADMIN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007623H,EASTERN GLOBAL SOLUTIONS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007631Z,SHINSHU 2 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007633C,COGO UNIVERSE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007639G,DATA DESIGN ENGINEERING PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007640C,AWAREGROUP PRIVATE LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007642D,RESOLVE GROUP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007643N,RAMIAR21 PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007645R,PLG CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007647W,INTERAIR ACQUISITION HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007649Z,EVERTON TRUST PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007650N,ANOTATOS CONSULTING PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007652R,PROVISE CENTRE SG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007653G,STERN CHEM PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007657K,SRI RAMANAS CAFE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007659M,LIGHT WIZARDS (S) PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007665C,THETAKOYAKIS PRIVATE LIMITED,INFORMATION AND COMMUNICATIONS
2020-03-05,202007667D,CAPITAL WORLD PARTNERS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007668N,KUSANAGI MAJOR HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007669E,VENEURR PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007670Z,PROFFESIONAL CONSULTANCY ADVISORY PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007673M,MOBISTUDIOS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007675N,AI INVEST PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007676E,NEUFAST PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007678G,FORGE & ANVIL (PTE. LTD.),"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007681D,EZCALL PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-05,202007682N,APOSTROPHE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007684R,BSP CORPORATE SERVICES PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007688Z,THE KITCHEN BAR PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-05,202007689K,WYTE BROTHERS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007691R,C & L PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-05,202007692G,HOMESTAR DESIGN STUDIO PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007697C,ITEM. PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007701R,AD CONSULTANCY PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007703W,DIGITAL DISCOVERY PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007708M,ZGP MEDIA FILMS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007717N,SOUTH OCEAN PROPERTY PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007719R,TAYEM WORLDWIDE (TGW) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007720K,SAVINGS SCIENCE PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007721C,BRIGHTENING THE UNIVERSE PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007724N,ZKTECO SINGAPORE PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007725E,AERO CONTROLS OPTIMIZED SOLUTIONS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007727G,NPX CAPITAL SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007731N,VISION ESTATE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007732E,GURU PRODUCTIONS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007733R,STORHUB 11 SERANGOON PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007734G,RULERMARKET PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007735W,DAWN BREEZE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007736H,STORHUB KA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007742W,GREENTEC MARINE SERVICE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007745K,ARABESQUE ASSET MANAGEMENT SINGAPORE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007749N,FLEET STREET LAW LLC,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007750H,E CAPITAL HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007756N,SHORAI DEVELOPMENT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007760C,LIMSA FAMILY OFFICE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007761M,NXCLOUD ASIA PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007762D,DOCKSIDE INTERIORS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007765R,ADVANCED GREEN SOLUTIONS HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007768H,LSSINE ENERGY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007769Z,THE STRAITS JOURNAL PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007772R,CYGNUS KIN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007773G,CANGLO PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007775H,ENTREE MEDIA PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007778C,KANA CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007779M,LEAD BY DESIGNN PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007781W,EDBINGO PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007786M,RED SWAN MEDIA PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007788N,GENESIS CONSULTING PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007790Z,SO-NICHE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007792C,CI INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007796E,XA002 PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007797R,QEON INTERACTIVE (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007800Z,XSBT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007801K,JADEBRIDGE PARTNERS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007802C,STREAMWORX SOLUTIONS ASIA PACIFIC PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007803M,BRIDGEI2I ANALYTICS SOLUTIONS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007804D,SINAUS CONSULTANTS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007805N,MC ALSOK FACILITY SOLUTIONS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007806E,WATERKULAR PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007807R,MERCURY ENERGY PARTNERS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007809W,D.R. SMILEDESIGNSTUDIO (PTE. LTD.),"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007813E,NWP RETAIL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007814R,AXIOM HUNT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007815G,THENIKI INTERNATIONAL PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007816W,DIGITAL ACCESS PASS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007818Z,I.S PROJECTS (S) PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007819K,CLOUDVIDIA PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007824H,RV - PROJECT DALKEITH AU PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007825Z,FREEKEY TECH PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007826K,GSY PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-06,202007828M,MAPLE LEAF CIS HOLDINGS PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007831H,ATICOR PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007833K,BIOFUELS FEEDSTOCK PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,202007836D,POLICYDOCK TECHNOLOGIES PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-06,202007837N,QQQ PROPERTY MANAGEMENT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-07,202007847G,ASCONA 88 HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-07,202007848W,JP88 HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-07,202007851N,LSS FUNDING CAPITAL PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-07,202007856H,SINGAPORE SUYI PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-07,202007857Z,DOS TECH PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-07,202007858K,ALI'S CORNER PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-07,202007860R,MAGNESIUM VENTURES PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-07,202007862W,SU LIN INVESTMENT CORPORATION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-07,202007863H,BOSSY MEDIA PRIVATE LIMITED,INFORMATION AND COMMUNICATIONS
2020-03-08,202007865K,GREENLIGHT FOUNDATION LTD.,INFORMATION AND COMMUNICATIONS
2020-03-08,202007866C,LTG BLOCKCHAIN FOUNDATION LTD.,INFORMATION AND COMMUNICATIONS
2020-03-08,202007868D,BETHEL CHAMBERS LLC,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-08,202007869N,DT MARKETING PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-08,202007874M,MUSIC ORIGINS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-08,202007875D,ULTIMATE TECHNOLOGY PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-08,202007879G,PRIVACYTOON PRIVATE LIMITED,INFORMATION AND COMMUNICATIONS
2020-03-08,202007882D,BUSINESS FORUM ASIA PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-08,202007888H,F4 INTERNATIONAL PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-08,202007889Z,YUZU CONSULTING PRIVATE LIMITED,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-08,202007890N,PI CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007892R,CHAIN XING FOUNDATION PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202007895H,CORPARY. PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007896Z,BNMED PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202007901E,MOM & POP PRIVATE LIMITED,INFORMATION AND COMMUNICATIONS
2020-03-09,202007906Z,CONFIRM GOOD PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202007908C,ROAD CONSULTANT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007909M,UP TECHNOLOGY SERVICE (SINGAPORE) PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007911W,P9 CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007913Z,H&T CONSULTING ENGINEERS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007914K,ETFDAO FOUNDATION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007915C,ADMIRED LEADERSHIP ASIA PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007919E,NEW SIGHT CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007921K,PACIFIC CAPITAL ASSET MANAGEMENT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007922C,ABSOLUTE CONFIDENCE INDONESIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007924D,NEW SIGHT INVESTMENT MANAGEMENT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007926E,BONZA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007928G,SINGAPORE NEW RETAIL INFRASTRUCTURE INVESTMENT MANAGEMENT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007931D,ANGLO-ASIA MARINE CONSULTING & SURVEYING (AMCAS) PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007932N,REDCO TRANSIT DEVELOPMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007933E,LENNON PROPERTY CONSULTANTS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007936W,BIM-SG PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007937H,STUDIO CHILLBILLIES PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007938Z,CTOS SG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007939K,CHI HYDROCARBON LOGISTICS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007941R,FINXFLO PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007942G,LUMINA GLOBAL WEALTH PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007944H,SIXA PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007948M,GRAND-COMBIN PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007952Z,ANNPIRE ASSET MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007958E,DERRY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007959R,MONTE NOVO CONSULTING SERVICE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007963D,SUPREME INTERIOR DESIGN PRIVATE LIMITED,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007965E,SIGNIFIC DIGITAL ASIA PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007968W,ROCKETVANCE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007969H,HIVESTACK SINGAPORE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007970D,FORTSPACE PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202007971N,SINGAPORE WENZHOU CHAMBER OF COMMERCE (LTD.),"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007974G,CONNECTIVITY COACHING PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007975W,INGENIUM (S) PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007977Z,ACES PRIME PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007978K,KAICHENG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007979C,THERAVAB BIOSCIENCES PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007980R,ATUM DATA SOLUTIONS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202007982W,CHUTZPAH GLOBAL PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007985K,TMF CONSULTING PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007988D,GOH CHENG HONG HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007989N,CITYID PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202007990H,360 NETWORKS PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202007992K,ASCENDANCE ADVISORY PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007993C,KAIXING MANAGEMENT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007995D,WINTECUP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202007996N,GOLDIE AGENCY PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007998R,JM AND SONS DEVELOPMENT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202007999G,JMF II PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008001K,DERMATO SINGAPORE PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202008002C,ATEM GEN5 FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008004D,FILA SINGAPORE HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008005N,WEN TECH PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008007R,MEISHAN STNA DEVELOPMENT HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008009W,PINGOLA PREMIUM SINDOMA PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008010M,WEWATCH PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008011D,XUEQIU FOUNDATION PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008012N,NUO GROUP PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202008013E,WORD&DEED DEVELOPMENT PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202008015G,MILLENIA CODE PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008016W,OTECH SOLUTION PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008018Z,NAVYA SYSTEMS PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202008019K,SAMUGLOBAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008021R,PATAMAR BEACON PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008024H,WONDRLAB PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008025Z,NEFIN PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202008033K,AYUTHIA INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008034C,MEGATREND (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008035M,J&J SHIRE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008037N,TECH-MED INVESTMENTS (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008038E,CAROUSELLER PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008039R,ANGLISS OG INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008042M,EUROVIN HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008044N,REF ADVISORS PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-09,202008045E,CREATIVE HITECH PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008046R,SANDHILL SOLUTION PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008051N,GEOSCAN ENERGY SOLUTION PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202008054G,AFO CAPITAL PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202008055W,JUZI TECHNOLOGY PTE. LTD.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2020-03-09,202008057Z,ONBOARD.ASIA PTE. LTD.,INFORMATION AND COMMUNICATIONS
2020-03-09,202008058K,HYADES SOLUTIONS PTE. LTD.,INFORMATION AND COMMUNICATIONS
